#HSFID	HSFTAG	Desig	JTAG	Ship	LDate	EDate	Dur	Crew	Callsign	Station	Program	Project	OrbID	DS	SSF
H00234	STS97	2000-078	S26630	STS-97	2000 Dec  1 0306:01	2000 Dec 11 2303:23	   10:19:57:22	   5	Endeavour	ISS	NASA	STS	ORB218	   0	  88
H00235	STS98	2001-006	S26698	STS-98	2001 Feb  7 2313:02	2001 Feb 20 2033:06	   12:21:20:04	   5	Atlantis	ISS	NASA	STS	ORB219	   0	  89
H00236	STS102	2001-010	S26718	STS-102	2001 Mar  8 1142:09	2001 Mar 21 0731:42	   12:19:49:33	   7	Discovery	ISS	NASA	STS	ORB220	   0	  90
H00237	STS100	2001-016	S26747	STS-100	2001 Apr 19 1840:42	2001 May  1 1610:43	   11:21:30:01	   7	Endeavour	ISS	NASA	STS	ORB221	   0	  91
H00238	TM32	2001-017	S26749	Soyuz TM-32	2001 Apr 28 0737:20	2001 Oct 31 0459:26	  185:21:22:06	   3	Kristall?	ISS	RU	Soyuz	ORB222	   0	  92
H00239	STS104	2001-028	S26862	STS-104	2001 Jul 12 0903:59	2001 Jul 25 0338:55	   12:18:34:56	   5	Atlantis	ISS	NASA	STS	ORB223	   0	  93
H00240	STS105	2001-035	S26888	STS-105	2001 Aug 10 2110:14	2001 Aug 22 1822:59	   11:21:12:45	   7	Discovery	ISS	NASA	STS	ORB224	   0	  94
H00241	TM33	2001-048	S26955	Soyuz TM-33	2001 Oct 21 0859:35	2002 May  5 0351:53	  195:18:52:18	   3	Derbent	ISS	RU	Soyuz	ORB225	   0	  95
H00242	STS108	2001-054	S26995	STS-108	2001 Dec  5 2219:28	2001 Dec 17 1755:12	   11:19:35:44	   7	Endeavour	ISS	NASA	STS	ORB226	   0	  96
H00243	STS109	2002-010	S27388	STS-109	2002 Mar  1 1122:02	2002 Mar 12 0931:52	   10:22:09:50	   7	Columbia	-	NASA	STS	ORB227	   0	   0
H00244	STS110	2002-018	S27413	STS-110	2002 Apr  8 2044:19	2002 Apr 19 1626:58	   10:19:42:39	   7	STS-110	ISS	NASA	STS	ORB228	   0	  97
H00245	TM34	2002-020	S27416	Soyuz TM-34	2002 Apr 25 0626:35	2002 Nov 10 0004:20	  198:17:37:45	   3	Uran	ISS	RU	Soyuz	ORB229	   0	  98
H00246	STS111	2002-028	S27440	STS-111	2002 Jun  5 2122:49	2002 Jun 19 1757:43	   13:20:34:54	   7	STS-111	ISS	NASA	STS	ORB230	   0	  99
H00247	STS112	2002-047	S27537	STS-112	2002 Oct  7 1945:51	2002 Oct 18 1543:40	   10:19:57:49	   6	STS-112	ISS	NASA	STS	ORB231	   0	 100
H00248	TMA1	2002-050	S27552	Soyuz TMA-1	2002 Oct 30 0311:11	2003 May  4 0204:25	  185:22:53:14	   3	Yenisey	ISS	RU	Soyuz	ORB232	   0	 101
H00249	STS113	2002-052	S27556	STS-113	2002 Nov 24 0049:47	2002 Dec  7 1937:13	   13:18:47:26	   7	STS-113	ISS	NASA	STS	ORB233	   0	 102
H00250	STS107	2003-003	S27647	STS-107	2003 Jan 16 1539:00	2003 Feb  1 1401:10	   15:22:22:10	   7	STS-107	-	NASA	STS	ORB234	   0	   0
H00251	TMA2	2003-016	S27781	Soyuz TMA-2	2003 Apr 26 0353:52	2003 Oct 28 0240:20	  184:22:46:28	   2	Agat	ISS	RU	Soyuz	ORB235	   0	 103
H00252	SZ5	2003-045	S28043	Shenzhou 5	2003 Oct 15 0100:03	2003 Oct 15 2223	    0:21:22 	   1	-	-	CN	SZ	ORB236	   0	   0
H00253	TMA3	2003-047	S28052	Soyuz TMA-3	2003 Oct 18 0538:03	2004 Apr 30 0011:15	  194:18:33:12	   3	Ingul'	ISS	RU	Soyuz	ORB237	   0	 104
H00254	TMA4	2004-013	S28228	Soyuz TMA-4	2004 Apr 19 0319:00	2004 Oct 24 0035:09	  187:21:16:09	   3	Al'tair	ISS	RU	Soyuz	ORB238	   0	 105
H00255	SS1-15P	2004-S22	R67457	SS1 15P	2004 Jun 21 1450	2004 Jun 21 1514	    0:00:23 	   1	-	-	SCL	SS1	SO17	   0	   0
H00256	SS1-16P	2004-S53	R67645	SS1 16P	2004 Sep 29 1509:53	2004 Sep 29 1534:04	    0:00:24:11	   1	-	-	SCL	SS1	SO18	   0	   0
H00257	SS1-17P	2004-S56	R67648	SS1 17P	2004 Oct  4 1449:11	2004 Oct  4 1513:07	    0:00:23:56	   1	-	-	SCL	SS1	SO19	   0	   0
H00258	TMA5	2004-040	S28444	Soyuz TMA-5	2004 Oct 14 0306:26	2005 Apr 24 2208:27	  192:19:02:01	   3	Tyan' Shan'	ISS	RU	Soyuz	ORB239	   0	 106
H00259	TMA6	2005-013	S28640	Soyuz TMA-6	2005 Apr 15 0046:25	2005 Oct 11 0109:48	  179:00:23:23	   3	Bazal't	ISS	RU	Soyuz	ORB240	   0	 107
H00260	STS114	2005-026	S28775	STS-114	2005 Jul 26 1439:00	2005 Aug  9 1211:23	   13:21:32:23	   7	STS-114	ISS	NASA	STS	ORB241	   0	 108
H00261	TMA7	2005-039	S28877	Soyuz TMA-7	2005 Oct  1 0354:53	2006 Apr  8 2347:24	  189:19:52:31	   3	Rassvet	ISS	RU	Soyuz	ORB242	   0	 109
H00262	SZ6	2005-040	S28879	Shenzhou 6	2005 Oct 12 0100:04	2005 Oct 16 2032:54	    4:19:32:50	   2	-	-	CN	SZ	ORB243	   0	   0
H00263	TMA8	2006-009	S28996	Soyuz TMA-8	2006 Mar 30 0230:20	2006 Sep 29 0113:37	  182:22:43:17	   3	Karat	ISS	RU	Soyuz	ORB244	   0	 110
H00264	STS121	2006-028	S29251	STS-121	2006 Jul  4 1837:55	2006 Jul 17 1314:43	   12:18:36:48	   7	STS-121	ISS	NASA	STS	ORB245	   0	 111
H00265	STS115	2006-036	S29391	STS-115	2006 Sep  9 1514:55	2006 Sep 21 1021:25	   11:19:06:30	   6	STS-115	ISS	NASA	STS	ORB246	   0	 112
H00266	TMA9	2006-040	S29400	Soyuz TMA-9	2006 Sep 18 0408:42	2007 Apr 21 1231:04	  215:08:22:22	   3	Vostok	ISS	RU	Soyuz	ORB247	   0	 113
H00267	STS116	2006-055	S29647	STS-116	2006 Dec 10 0147:35	2006 Dec 22 2231:59	   12:20:44:24	   7	STS-116	ISS	NASA	STS	ORB248	   0	 114
H00268	TMA10	2007-008	S31100	Soyuz TMA-10	2007 Apr  7 1731:14	2007 Oct 21 1035:49	  196:17:04:35	   3	Pul'sar	ISS	RU	Soyuz	ORB249	   0	 115
H00269	STS117	2007-024	S31600	STS-117	2007 Jun  8 2338:04	2007 Jun 22 1949:38	   13:20:11:34	   7	STS-117	ISS	NASA	STS	ORB250	   0	 116
H00270	STS118	2007-035	S32008	STS-118	2007 Aug  8 2236:42	2007 Aug 21 1632:17	   12:17:55:35	   7	STS-118	ISS	NASA	STS	ORB251	   0	 117
H00271	TMA11	2007-045	S32256	Soyuz TMA-11	2007 Oct 10 1322:39	2008 Apr 19 0829:44	  191:19:07:05	   3	Agat	ISS	RU	Soyuz	ORB252	   0	 118
H00272	STS120	2007-050	S32272	STS-120	2007 Oct 23 1538:19	2007 Nov  7 1801:18	   15:02:22:59	   7	STS-120	ISS	NASA	STS	ORB253	   0	 119
H00273	STS122	2008-005	S32486	STS-122	2008 Feb  7 1945:30	2008 Feb 20 1407:09	   12:18:21:39	   7	STS-122	ISS	NASA	STS	ORB254	   0	 120
H00274	STS123	2008-009	S32699	STS-123	2008 Mar 11 0628:14	2008 Mar 27 0039:08	   15:18:10:54	   7	STS-123	ISS	NASA	STS	ORB255	   0	 121
H00275	TMA12	2008-015	S32756	Soyuz TMA-12	2008 Apr  8 1116:39	2008 Oct 24 0336:50	  198:16:20:11	   3	Eridan	ISS	RU	Soyuz	ORB256	   0	 122
H00276	STS124	2008-027	S32960	STS-124	2008 May 31 2102:12	2008 Jun 14 1515:18	   13:18:13:06	   7	STS-124	ISS	NASA	STS	ORB257	   0	 123
H00277	SZ7	2008-047	S33386	Shenzhou 7	2008 Sep 25 1310:05	2008 Sep 28 0937:40	    2:20:27:35	   3	-	-	CN	SZ	ORB258	   0	   0
H00278	TMA13	2008-050	S33399	Soyuz TMA-13	2008 Oct 12 0701:33	2009 Apr  8 0715:10	  178:00:13:37	   3	Titan	ISS	RU	Soyuz	ORB259	   0	 124
H00279	STS126	2008-059	S33441	STS-126	2008 Nov 15 0055:39	2008 Nov 30 2125:07	   15:20:29:28	   7	STS-126	ISS	NASA	STS	ORB260	   0	 125
H00280	STS119	2009-012	S34541	STS-119	2009 Mar 15 2343:44	2009 Mar 28 1913:26	   12:19:29:42	   7	STS-119	ISS	NASA	STS	ORB261	   0	 126
H00281	TMA14	2009-015	S34669	Soyuz TMA-14	2009 Mar 26 1149:18	2009 Oct 11 0431:43	  198:16:42:25	   3	Al'tair	ISS	RU	Soyuz	ORB262	   0	 127
H00282	STS125	2009-025	S34933	STS-125	2009 May 11 1801:56	2009 May 24 1539:05	   12:21:37:09	   7	STS-125	ISS	NASA	STS	ORB263	   0	   0
H00283	TMA15	2009-030	S35010	Soyuz TMA-15	2009 May 27 1034:53	2009 Dec  1 0715:34	  187:20:40:41	   3	Parus	ISS	RU	Soyuz	ORB264	   0	 128
H00284	STS127	2009-038	S35633	STS-127	2009 Jul 15 2203:10	2009 Jul 31 1448:10	   15:16:45:00	   7	STS-127	ISS	NASA	STS	ORB265	   0	 129
H00285	STS128	2009-045	S35811	STS-128	2009 Aug 29 0359:37	2009 Sep 12 0053:20	   13:20:53:43	   7	STS-128	ISS	NASA	STS	ORB266	   0	 130
H00286	TMA16	2009-053	S35940	Soyuz TMA-16	2009 Sep 30 0714:45	2010 Mar 17 1124:04	  168:04:09:19	   3	Tsefey	ISS	RU	Soyuz	ORB267	   0	 131
H00287	STS129	2009-062	S36094	STS-129	2009 Nov 16 1928:10	2009 Nov 27 1444:21	   10:19:16:11	   6	STS-129	ISS	NASA	STS	ORB268	   0	 132
H00288	TMA17	2009-074	S36129	Soyuz TMA-17	2009 Dec 20 2152:00	2010 Jun  2 0324:32	  163:05:32:32	   3	Pul'sar	ISS	RU	Soyuz	ORB269	   0	 133
H00289	STS130	2010-004	S36394	STS-130	2010 Feb  8 0914:08	2010 Feb 22 0320:29	   13:18:06:21	   6	STS-130	ISS	NASA	STS	ORB270	   0	 134
H00290	TMA18	2010-011	S36505	Soyuz TMA-18	2010 Apr  2 0404:33	2010 Sep 25 0523:11	  176:01:18:38	   3	Utyos	ISS	RU	Soyuz	ORB271	   0	 135
H00291	STS131	2010-012	S36507	STS-131	2010 Apr  5 1021:25	2010 Apr 20 1308:35	   15:02:47:10	   7	STS-131	ISS	NASA	STS	ORB272	   0	 136
H00292	STS132	2010-019	S36572	STS-132	2010 May 14 1820:09	2010 May 26 1248:08	   11:18:27:59	   6	STS-132	ISS	NASA	STS	ORB273	   0	 137
H00293	TMA19	2010-029	S36603	Soyuz TMA-19	2010 Jun 15 2135:19	2010 Nov 26 0446:53	  163:07:11:34	   3	Olimp	ISS	RU	Soyuz	ORB274	   0	 138
H00294	TMA01M	2010-052	S37183	Soyuz TMA-01M	2010 Oct  7 2310:55	2011 Mar 16 0753:37	  159:08:42:42	   3	Ingul	ISS	RU	Soyuz	ORB275	   0	 139
H00295	TMA20	2010-067	S37254	Soyuz TMA-20	2010 Dec 15 1909:25	2011 May 24 0226:41	  159:07:17:16	   3	Varyag	ISS	RU	Soyuz	ORB276	   0	 140
H00296	STS133	2011-008	S37371	STS-133	2011 Feb 24 2153:24	2011 Mar  9 1657:15	   12:19:03:51	   6	STS-133	ISS	NASA	STS	ORB277	   0	 141
H00297	TMA21	2011-012	S37382	Soyuz TMA-21	2011 Apr  4 2218:20	2011 Sep 16 0359:44	  164:05:41:24	   3	Tarkhany	ISS	RU	Soyuz	ORB278	   0	 142
H00298	STS134	2011-020	S37577	STS-134	2011 May 16 1256:28	2011 Jun  1 0634:50	   15:17:38:22	   6	STS-134	ISS	NASA	STS	ORB279	   0	 143
H00299	TMA02M	2011-023	S37633	Soyuz TMA-02M	2011 Jun  7 2012:45	2011 Nov 22 0225:10	  167:06:12:25	   3	Eridan	ISS	RU	Soyuz	ORB280	   0	 144
H00300	STS135	2011-031	S37736	STS-135	2011 Jul  8 1529:04	2011 Jul 21 0956:55	   12:18:27:51	   4	STS-135	ISS	NASA	STS	ORB281	   0	 145
H00301	TMA22	2011-067	S37877	Soyuz TMA-22	2011 Nov 14 0414:03	2012 Apr 27 1145:35	  165:07:31:32	   3	Astrey	ISS	RU	Soyuz	ORB282	   0	 146
H00302	TMA03M	2011-078	S38036	Soyuz TMA-03M	2011 Dec 21 1316:15	2012 Jul  1 0814:41	  192:18:58:26	   3	Antares	ISS	RU	Soyuz	ORB283	   0	 147
H00303	TMA04M	2012-022	S38291	Soyuz TMA-04M	2012 May 15 0301:23	2012 Sep 17 0252:53	  124:23:51:30	   3	Al'tair	ISS	RU	Soyuz	ORB284	   0	 148
H00304	SZ9	2012-032	S38461	Shenzhou 9	2012 Jun 16 1037:25	2012 Jun 29 0202	   12:15:24 	   3	-	TG1	CN	SZ	ORB285	   0	 149
H00305	TMA05M	2012-037	S38671	Soyuz TMA-05M	2012 Jul 15 0240:03	2012 Nov 19 0153:20	  126:23:13:17	   3	Agat	ISS	RU	Soyuz	ORB286	   0	 150
H00306	TMA06M	2012-058	S38871	Soyuz TMA-06M	2012 Oct 23 1051:11	2013 Mar 16 0306:13	  143:16:15:02	   3	Kazbek	ISS	RU	Soyuz	ORB287	   0	 151
H00307	TMA07M	2012-074	S39032	Soyuz TMA-07M	2012 Dec 19 1212:35	2013 May 14 0230:47	  145:14:18:12	   3	Parus	ISS	RU	Soyuz	ORB288	   0	 152
H00308	TMA08M	2013-013	S39125	Soyuz TMA-08M	2013 Mar 28 2043:20	2013 Sep 11 0258:28	  166:06:15:08	   3	Karat	ISS	RU	Soyuz	ORB289	   0	 153
H00309	TMA09M	2013-025	S39170	Soyuz TMA-09M	2013 May 28 2031:24	2013 Nov 11 0249:00	  166:06:17:36	   3	Olimp	ISS	RU	Soyuz	ORB290	   0	 154
H00310	SZ10	2013-029	S39179	Shenzhou 10	2013 Jun 11 0938:03	2013 Jun 26 0007	   14:14:28 	   3	-	TG1	CN	SZ	ORB291	   0	 155
H00311	TMA10M	2013-054	S39263	Soyuz TMA-10M	2013 Sep 25 2058:50	2014 Mar 11 0323:48	  166:06:24:58	   3	Pulsar	ISS	RU	Soyuz	ORB292	   0	 156
H00312	TMA11M	2013-061	S39373	Soyuz TMA-11M	2013 Nov  7 0414:15	2014 May 14 0158:06	  187:21:43:51	   3	Vostok	ISS	RU	Soyuz	ORB293	   0	 157
H00313	TMA12M	2014-013	S39622	Soyuz TMA-12M	2014 Mar 25 2117:23	2014 Sep 11 0223:07	  169:05:05:44	   3	Utyos	ISS	RU	Soyuz	ORB294	   0	 158
H00314	TMA13M	2014-031	S39775	Soyuz TMA-13M	2014 May 28 1957:41	2014 Nov 10 0358:50	  165:08:01:09	   3	Tsefey   (Cep)	ISS	RU	Soyuz	ORB295	   0	 159
H00315	TMA14M	2014-057	S40246	Soyuz TMA-14M	2014 Sep 25 2025:00	2015 Mar 12 0207:40	  167:05:42:40	   3	Tarkhany	ISS	RU	Soyuz	ORB296	   0	 160
H00316	TMA15M	2014-074	S40312	Soyuz TMA-15M	2014 Nov 23 2101:13	2015 Jun 11 1343:57	  199:16:42:44	   3	Astrey	ISS	RU	Soyuz	ORB297	   0	 161
H00317	TMA16M	2015-016	S40542	Soyuz TMA-16M	2015 Mar 27 1942:57	2015 Sep 12 0051:36	  168:05:08:39	   3	Al'tair	ISS	RU	Soyuz	ORB298	   0	 162
H00318	TMA17M	2015-035	S40744	Soyuz TMA-17M	2015 Jul 22 2102:45	2015 Dec 11 1312:30	  141:16:09:45	   3	Antares	ISS	RU	Soyuz	ORB299	   0	 163
H00319	TMA18M	2015-043	S40885	Soyuz TMA-18M	2015 Sep  2 0437:43	2016 Mar  2 0425:51	  181:23:48:08	   3	Eridan	ISS	RU	Soyuz	ORB300	   0	 164
H00320	TMA19M	2015-076	S41124	Soyuz TMA-19M	2015 Dec 15 1103:10	2016 Jun 18 0915:06	  185:22:11:56	   3	Agat	ISS	RU	Soyuz	ORB301	   0	 165
H00321	TMA20M	2016-018	S41391	Soyuz TMA-20M	2016 Mar 18 2126:39	2016 Sep  7 0113:35	  172:03:46:56	   3	Burlak	ISS	RU	Soyuz	ORB302	   0	 166
H00322	MS01	2016-044	S41639	Soyuz MS-01	2016 Jul  7 0136:40	2016 Oct 30 0358:23	  115:02:21:43	   3	Irkut	ISS	RU	Soyuz	ORB303	   0	 167
H00323	SZ11	2016-061	S41812	Shenzhou 11	2016 Oct 16 2330:31	2016 Nov 18 0559	   32:06:28 	   2	-	TG2	CN	SZ	ORB304	   0	 168
H00324	MS02	2016-063	S41820	Soyuz MS-02	2016 Oct 19 0805:14	2017 Apr 10 1120:22	  173:03:15:08	   3	Favor	ISS	RU	Soyuz	ORB305	   0	 169
H00325	MS03	2016-070	S41864	Soyuz MS-03	2016 Nov 17 2020:13	2017 Jun  2 1410:30	  196:17:50:17	   3	Kazbek	ISS	RU	Soyuz	ORB306	   0	 170
H00326	MS04	2017-020	S42682	Soyuz MS-04	2017 Apr 20 0713:43	2017 Sep  3 0121:41	  135:18:07:58	   2	Olimp	ISS	RU	Soyuz	ORB307	   0	 171
H00327	MS05	2017-043	S42898	Soyuz MS-05	2017 Jul 28 1541:12	2017 Dec 14 0837:49	  138:16:56:37	   3	Borei	ISS	RU	Soyuz	ORB308	   0	 172
H00328	MS06	2017-054	S42937	Soyuz MS-06	2017 Sep 12 2117:02	2018 Feb 28 0231:20	  168:05:14:18	   3	Al'tair	ISS	RU	Soyuz	ORB309	   0	 173
H00329	MS07	2017-081	S43063	Soyuz MS-07	2017 Dec 17 0721:01	2018 Jun  3 1239:15	  168:05:18:14	   3	Astrey	ISS	RU	Soyuz	ORB310	   0	 174
H00330	MS08	2018-026	S43238	Soyuz MS-08	2018 Mar 21 1744:23	2018 Oct  4 1144:38	  196:18:00:15	   3	Hawaii	ISS	RU	Soyuz	ORB311	   0	 175
H00331	MS09	2018-051	S43493	Soyuz MS-09	2018 Jun  6 1112:39	2018 Dec 20 0502	  196:17:49 	   3	Altai	ISS	RU	Soyuz	ORB312	   0	 176
H00332	MS10	2018-F01	F01526	Soyuz MS-10	2018 Oct 11 0840:15	2018 Oct 11 0859:56	    0:00:19:41	   2	Burlak	ISS	RU	Soyuz	SO20	   0	 177
H00333	MS11	2018-098	S43756	Soyuz MS-11	2018 Dec  3 1131:52	2019 Jun 25 0248:54	  203:15:17:02	   3	Antares	ISS	RU	Soyuz	ORB313	   0	 178
H00334	SS2-15	2018-S79	R78887	VMS Unity VP-03	2018 Dec 13 1559:39	2018 Dec 13 1613:47	    0:00:14:08	   2	Unity 15	-	VG	VG	SO21	   0	   0
H00335	SS2-16	2019-S08	R79373	VMS Unity VF-01	2019 Feb 22 1653:40	2019 Feb 22 1708:49	    0:00:15:09	   3	Unity 16	-	VG	VG	SO22	   0	   0
H00336	MS12	2019-013	S44069	Soyuz MS-12	2019 Mar 14 1914:09	2019 Oct  3 1059:20?	  202:15:45:11	   3	Burlak	ISS	RU	Soyuz	ORB314	   0	 179
H00337	MS13	2019-041	S44437	Soyuz MS-13	2019 Jul 20 1628:20	2020 Feb  6 0912:21	  200:16:44:01	   3	Utyos	ISS	RU	Soyuz	ORB315	   0	 180
H00338	MS15	2019-064	S44550	Soyuz MS-15	2019 Sep 25 1357:43	2020 Apr 17 0516:43	  204:15:19:00	   3	Sarmat	ISS	RU	Soyuz	ORB316	   0	 181
H00339	MS16	2020-023	S45476	Soyuz MS-16	2020 Apr  9 0805:06	2020 Oct 22 0254:12	  195:18:49:06	   3	Irkut	ISS	RU	Soyuz	ORB317	   0	 182
H00340	DM2	2020-033	S45623	Dragon DM-2	2020 May 30 1922:45	2020 Aug  2 1847:48?	   63:23:25:03	   2	Endeavour	ISS	SPX	Dragon	ORB318	   0	 183
H00341	MS17	2020-072	S46613	Soyuz MS-17	2020 Oct 14 0545:04	2021 Apr 17 0455:12	  184:23:10:08	   3	Favor	ISS	RU	Soyuz	ORB319	   0	 184
H00342	SPXC1	2020-084	S46920	Dragon Crew-1	2020 Nov 16 0027:17	2021 May  2 0656:43	  167:06:29:26	   4	Resilience	ISS	SPX	Dragon	ORB320	   0	 185
HA0015	SS2-20	2020-A22	L80532	VMS Unity VF-02	2020 Dec 12 1616:50?	2020 Dec 12 1630?	    0:00:13?	   2	Unity 20	-	VG	VG	-	   0	   0
H00343	MS18	2021-029	S48159	Soyuz MS-18	2021 Apr  9 0742:41	2021 Oct 17 0435:44	  190:20:53:03	   3	Kazbek	ISS	RU	Soyuz	ORB321	   0	 186
H00344	SPXC2	2021-030	S48209	Dragon Crew-2	2021 Apr 23 0949:02	2021 Nov  9 0332:45?	  199:17:43:43	   4	Endeavour	ISS	SPX	Dragon	ORB322	   0	 187
H00345	SS2-21	2021-S26	R80392	VMS Unity VF-02-2	2021 May 22 1526	2021 May 22 1543	    0:00:16 	   2	Unity 21	-	VG	VG	SO23	   0	   0
H00346	SZ12	2021-053	S48852	Shenzhou 12	2021 Jun 17 0122:32	2021 Sep 17 0534:10?	   92:04:11:38	   3	-	TG	CN	SZ	ORB323	   0	 188
H00347	SS2-22	2021-S41	R80510	VMS Unity 22	2021 Jul 11 1525:00?	2021 Jul 11 1540:14	    0:00:15:14	   6	Unity 22	-	VG	VG	SO24	   0	   0
H00348	NS16	2021-S45	R80531	New Shepard NS-16	2021 Jul 20 1311:00?	2021 Jul 20 1321:18	    0:00:10:18	   4	-	-	BO	NS	SO25	   0	   0
H00349	INSP4	2021-084	S49220	Inspiration4	2021 Sep 16 0002:56	2021 Sep 18 2306:49?	    2:23:03:53	   4	Inspiration4	-	SPX	Dragon	ORB324	   0	   0
H00350	MS19	2021-089	S49269	Soyuz MS-19	2021 Oct  5 0855:02	-	   75:18:53:51*	   3	Astrey	ISS	RU	Soyuz	ORB325	   0	 189
H00351	NS18	2021-S69	R80710	New Shepard NS-18	2021 Oct 13 1449:00?	2021 Oct 13 1459:09	    0:00:10 	   4	-	-	BO	NS	SO26	   0	   0
H00352	SZ13	2021-092	S49326	Shenzhou 13	2021 Oct 15 1623:44	-	   65:11:25:09*	   3	-	TG	CN	SZ	ORB326	   0	 190
H00353	SPXC3	2021-103	S49407	Dragon Crew-3	2021 Nov 11 0203:31	-	   39:01:45:22*	   4	Endurance	ISS	SPX	Dragon	ORB327	   0	 191
H00354	MS20	2021-119	S49922	Soyuz MS-20	2021 Dec  8 0738:15	2021 Dec 20 0313:41?	   11:19:35:26	   3	Al'tair	ISS	RU	Soyuz	ORB328	   0	 192
H00355	NS19	2021-S89	R80894	New Shepard NS-19	2021 Dec 11 1500:49	2021 Dec 11 1510:55	    0:00:10:06	   6	-	-	BO	NS	SO27	   0	   0
